Ticker,P/E,Market Cap,Dividend Rate,Sector,Industry
AMT,53.70922,100920754176.0,4.84,Real Estate,REIT—Specialty
AWK,44.29863,29309870080.0,2.2,Utilities,Utilities—Regulated Water
AMP,17.87541,25471744000.0,4.16,Financial Services,Asset Management
ABC,,21530976256.0,1.76,Healthcare,Medical Distribution
AME,32.29443,28010412032.0,0.8,Industrials,Specialty Industrial Machinery
AMGN,19.2697,137004441600.0,7.04,Healthcare,Drug Manufacturers—General
APH,34.75703,40712511488.0,,Technology,Electronic Components
ADI,49.01829,59392774144.0,2.48,Technology,Semiconductors
ANSS,91.74812,34662821888.0,,Technology,Software—Application
ANTM,16.167751,72293277696.0,4.52,Healthcare,Healthcare Plans
AON,26.97421,52133593088.0,1.84,Financial Services,Insurance Brokers
AOS,28.476416,9747822592.0,1.04,Industrials,Specialty Industrial Machinery
APA,,6598315520.0,,Energy,Oil & Gas E&P
AAPL,36.715485,2272604979200.0,0.82,Technology,Consumer Electronics
AMAT,29.770407,107091034112.0,0.88,Technology,Semiconductor Equipment & Materials
APTV,23.45288,42202206208.0,,Consumer Cyclical,Auto Parts
ADM,17.705751,30986115072.0,1.48,Consumer Defensive,Farm Products
ANET,36.172523,24462120960.0,,Technology,Computer Hardware
AJG,27.780954,22605582336.0,1.92,Financial Services,Insurance Brokers
AIZ,18.322609,7528816640.0,2.64,Financial Services,Insurance—Specialty
T,,205228802048.0,2.08,Communication Services,Telecom Services
ATO,17.689919,11669059584.0,2.5,Utilities,Utilities—Regulated Gas
ADSK,158.26764,67096928256.0,,Technology,Software—Application
ADP,28.948008,71478820864.0,3.72,Industrials,Staffing & Employment Services
AZO,15.02306,26096721920.0,,Consumer Cyclical,Specialty Retail
AVB,30.47708,25061210112.0,6.36,Real Estate,REIT—Residential
AVY,26.812405,14784117760.0,2.48,Industrials,Business Equipment & Supplies
BKR,,23500402688.0,0.72,Energy,Oil & Gas Equipment & Services
BLL,50.954544,29335404544.0,0.6,Consumer Cyclical,Packaging & Containers
BAC,17.84492,288677527552.0,0.72,Financial Services,Banks—Diversified
BK,10.947781,37182017536.0,1.24,Financial Services,Asset Management
BAX,36.96244,39766839296.0,0.98,Healthcare,Medical Instruments & Supplies
BDX,48.767124,74476339200.0,3.32,Healthcare,Medical Instruments & Supplies
BRK.B,,,,N/A,N/A
BBY,18.364828,31205462016.0,2.2,Consumer Cyclical,Specialty Retail
BIO,5.248415,19771478016.0,,Healthcare,Medical Devices
BIIB,11.210887,42353979392.0,,Healthcare,Drug Manufacturers—General
BLK,22.699528,110278295552.0,16.52,Financial Services,Asset Management
BA,,123000700928.0,,Industrials,Aerospace & Defense
BKNG,63.840057,88076795904.0,,Consumer Cyclical,Travel Services
BWA,17.975172,10267353088.0,0.68,Consumer Cyclical,Auto Parts
BXP,16.98556,14653158400.0,3.92,Real Estate,REIT—Office
BSX,14.737043,54368686080.0,,N/A,N/A
BMY,,134406397952.0,1.96,Healthcare,Drug Manufacturers—General
AVGO,76.85209,197792661504.0,14.4,Technology,Semiconductors
BR,33.462147,17146358784.0,2.3,Technology,Information Technology Services
BF.B,,,,N/A,N/A
CHRW,24.54301,12411870208.0,,Industrials,Integrated Freight & Logistics
COG,34.266914,7266113024.0,0.4,Energy,Oil & Gas E&P
CDNS,37.770287,40634667008.0,,Technology,Software—Application
CPB,8.025751,14162678784.0,1.48,Consumer Defensive,Packaged Foods
COF,22.718502,54047248384.0,1.6,Financial Services,Credit Services
CAH,11.022317,15229622272.0,,Healthcare,Medical Distribution
KMX,27.488462,20333877248.0,,Consumer Cyclical,Auto & Truck Dealerships
CCL,,22996193280.0,,Consumer Cyclical,Travel Services
CARR,,32404258816.0,0.48,Industrials,Building Products & Equipment
CTLT,69.401665,21324337152.0,,Healthcare,Drug Manufacturers—Specialty & Generic
CAT,36.261906,107559649280.0,4.12,Industrials,Farm & Heavy Construction Machinery
CBOE,19.62459,9657874432.0,1.68,Financial Services,Financial Data & Stock Exchanges
CBRE,22.38155,23928076288.0,,Real Estate,Real Estate Services
CDW,28.513762,22220335104.0,1.6,Technology,Information Technology Services
CE,7.9246516,15154182144.0,2.72,Basic Materials,Chemicals
CNC,18.97436,34423554048.0,,Healthcare,Healthcare Plans
CNP,,11648272384.0,0.64,Utilities,Utilities—Regulated Gas
CERN,29.742062,22978920448.0,0.88,Healthcare,Health Information Services
CF,33.555218,9489313792.0,1.2,Basic Materials,Agricultural Inputs
SCHW,27.448114,109343662080.0,0.72,Financial Services,Capital Markets
CHTR,39.83442,118844293120.0,,Communication Services,Entertainment
CVX,,178159681536.0,5.16,Energy,Oil & Gas Integrated
CMG,122.02076,42995740672.0,,Consumer Cyclical,Restaurants
CB,21.073172,74097065984.0,3.12,Financial Services,Insurance—Property & Casualty
CHD,26.583336,20349329408.0,1.01,Consumer Defensive,Household & Personal Products
CI,9.013023,72543657984.0,4.0,Healthcare,Healthcare Plans
CINF,12.339119,14870099968.0,2.52,Financial Services,Insurance—Property & Casualty
CTAS,38.411667,35966472192.0,3.0,Industrials,Specialty Business Services
CSCO,19.78661,199824359424.0,1.48,Technology,Communication Equipment
C,13.054986,132484022272.0,2.04,Financial Services,Banks—Diversified
CFG,18.252253,17310547968.0,1.56,Financial Services,Banks—Regional
CTXS,34.42,16929682432.0,1.48,Technology,Software—Application
CLX,19.459036,23393351680.0,4.44,Consumer Defensive,Household & Personal Products
CME,31.35544,66187169792.0,,Financial Services,Financial Data & Stock Exchanges
CMS,21.35606,16290607104.0,1.74,Utilities,Utilities—Regulated Electric
KO,28.318436,218068385792.0,1.64,Consumer Defensive,Beverages—Non-Alcoholic
CTSH,29.945526,40788799488.0,,Technology,Information Technology Services
CL,24.977707,67227766784.0,1.76,Consumer Defensive,Household & Personal Products
CMCSA,23.34649,243828539392.0,1.0,Communication Services,Entertainment
CMA,19.055046,8678910976.0,2.72,Financial Services,Banks—Regional
CAG,15.213563,16880404480.0,1.1,Consumer Defensive,Packaged Foods
COP,,63884349440.0,1.72,Energy,Oil & Gas E&P
ED,17.532692,23799130112.0,3.1,Utilities,Utilities—Regulated Electric
STZ,23.277376,46768017408.0,3.0,Consumer Defensive,Beverages—Wineries & Distilleries
COO,80.12474,18939750400.0,0.06,Healthcare,Medical Instruments & Supplies
CPRT,41.88881,28200183808.0,,Industrials,Specialty Business Services
GLW,68.296295,28213200896.0,0.96,Technology,Electronic Components
CTVA,,33014030336.0,0.52,Basic Materials,Agricultural Inputs
COST,36.216633,156252372992.0,2.8,Consumer Defensive,Discount Stores
CCI,69.98299,70931267584.0,5.32,Real Estate,REIT—Specialty
CSX,25.038889,68732198912.0,1.12,Industrials,Railroads
CMI,20.313906,36024123392.0,5.4,Industrials,Specialty Industrial Machinery
CVS,12.266115,97134206976.0,2.0,Healthcare,Healthcare Plans
DHI,11.111412,29889032192.0,0.8,Consumer Cyclical,Residential Construction
DHR,50.286297,174834892800.0,0.72,Healthcare,Diagnostics & Research
DRI,,16740631552.0,1.48,Consumer Cyclical,Restaurants
DVA,16.636032,11430260736.0,,Healthcare,Medical Care Facilities
DE,36.018414,98413772800.0,3.04,Industrials,Farm & Heavy Construction Machinery
DAL,,27607506944.0,,Industrials,Airlines
XRAY,,12097018880.0,0.4,Healthcare,Medical Instruments & Supplies
DVN,,13448677376.0,0.44,Energy,Oil & Gas E&P
DXCM,81.5336,39678947328.0,,Healthcare,Diagnostics & Research
FANG,,10921167872.0,1.5,Energy,Oil & Gas E&P
DLR,140.06,39257415680.0,4.48,Real Estate,REIT—Office
DFS,26.062292,28772040704.0,1.76,Financial Services,Credit Services
DISCA,26.481995,21193611264.0,,Communication Services,Entertainment
DISCK,22.576178,21193625600.0,,Communication Services,Entertainment
DISH,12.7739315,16495610880.0,,Communication Services,Entertainment
DG,19.66142,48657199104.0,1.44,Consumer Defensive,Discount Stores
DLTR,26.76587,25488932864.0,,Consumer Defensive,Discount Stores
D,,58632912896.0,2.52,Utilities,Utilities—Diversified
DPZ,32.962772,15175659520.0,3.12,Consumer Cyclical,Restaurants
DOV,26.112768,17685762048.0,1.98,Industrials,Specialty Industrial Machinery
DOW,35.457317,43258658816.0,2.8,Basic Materials,Chemicals
DTE,17.115767,23409145856.0,4.34,Utilities,Utilities—Regulated Electric
DUK,52.25131,66103836672.0,3.86,Utilities,Utilities—Regulated Electric
DRE,51.652176,15465723904.0,0.98,Real Estate,REIT—Industrial
DD,,38339297280.0,1.2,Basic Materials,Chemicals
DXC,,6565979648.0,,Technology,Information Technology Services
EMN,31.208572,14797169664.0,2.76,Basic Materials,Chemicals
ETN,35.524357,49418428416.0,2.92,Industrials,Specialty Industrial Machinery
EBAY,7.984034,42874900480.0,0.72,Consumer Cyclical,Internet Retail
ECL,,62763646976.0,1.92,Basic Materials,Specialty Chemicals
EIX,60.197506,21919744000.0,2.65,Utilities,Utilities—Regulated Electric
EW,67.42308,54627688448.0,,Healthcare,Medical Devices
EA,36.524105,42493865984.0,0.68,Communication Services,Electronic Gaming & Multimedia
EMR,24.69754,51200561152.0,2.02,Industrials,Specialty Industrial Machinery
ENPH,217.37894,26089027584.0,,Technology,Solar
ETR,13.770135,19000109056.0,3.8,Utilities,Utilities—Diversified
EOG,,35597725696.0,1.5,Energy,Oil & Gas E&P
EFX,41.790096,21581742080.0,,Industrials,Consulting Services
EQIX,169.811,63245275136.0,11.48,Real Estate,REIT—Specialty
EQR,27.565361,25122940928.0,2.41,Real Estate,REIT—Residential
ESS,30.9954,17562859520.0,8.31,Real Estate,REIT—Residential
EL,114.85952,105290801152.0,,Consumer Defensive,Household & Personal Products
ETSY,125.59614,29487640576.0,,Consumer Cyclical,Internet Retail
EVRG,19.706734,12346466304.0,2.14,Utilities,Utilities—Regulated Electric
ES,24.175419,29198319616.0,2.41,Utilities,Utilities—Regulated Electric
RE,19.056337,9737703424.0,6.2,Financial Services,Insurance—Reinsurance
EXC,17.370369,41178890240.0,1.53,Utilities,Utilities—Diversified
EXPE,,21077659648.0,,Consumer Cyclical,Travel Services
EXPD,26.053413,16347710464.0,1.04,Industrials,Integrated Freight & Logistics
EXR,34.703087,15353122816.0,3.6,Real Estate,REIT—Industrial
XOM,,213851160576.0,3.48,Energy,Oil & Gas Integrated
FFIV,43.815266,12984891392.0,,Technology,Software—Infrastructure
FB,26.808722,770294743040.0,,Communication Services,Internet Content & Information
FAST,31.805368,27216881664.0,1.12,Industrials,Industrial Distribution
FRT,63.166668,7853613056.0,4.24,Real Estate,REIT—Retail
FDX,28.398663,69713674240.0,2.6,Industrials,Integrated Freight & Logistics
FIS,542.4,84141023232.0,1.56,Technology,Information Technology Services
FITB,17.765026,23171825664.0,1.08,Financial Services,Banks—Regional
FE,23.29605,16950511616.0,1.56,Utilities,Utilities—Diversified
FRC,26.745268,26759555072.0,0.8,Financial Services,Banks—Regional
FISV,78.564285,73541517312.0,,Technology,Information Technology Services
FLT,32.54926,22112974848.0,,Technology,Information Technology Services
FLIR,52.4856,7172757504.0,0.68,Technology,Scientific & Technical Instruments
FLS,35.481285,5185769984.0,0.8,Industrials,Specialty Industrial Machinery
FMC,25.49846,13972234240.0,1.92,Basic Materials,Agricultural Inputs
F,,45555998720.0,,Consumer Cyclical,Auto Manufacturers
FTNT,56.608246,26740948992.0,,Technology,Software—Infrastructure
FTV,15.914552,24166606848.0,0.28,Technology,Scientific & Technical Instruments
FBHS,22.802029,12481380352.0,1.04,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FOXA,12.896716,18953758720.0,0.46,Communication Services,Broadcasting
FOX,12.445588,18953750528.0,0.46,Communication Services,Broadcasting
BEN,17.727858,13959259136.0,1.12,Financial Services,Asset Management
FCX,76.17073,45595799552.0,,Basic Materials,Copper
GPS,,8636329984.0,,Consumer Cyclical,Apparel Retail
GRMN,24.535385,24994674688.0,2.44,Technology,Scientific & Technical Instruments
IT,77.12057,16333251584.0,,Technology,Information Technology Services
GD,14.984546,47301595136.0,,N/A,N/A
GE,20.364584,102847930368.0,0.04,Industrials,Specialty Industrial Machinery
GIS,14.638647,34925281280.0,2.04,Consumer Defensive,Packaged Foods
GM,12.378753,77232775168.0,,Consumer Cyclical,Auto Manufacturers
GPC,,14330883072.0,3.16,Consumer Cyclical,Specialty Retail
GILD,682.551,83848617984.0,,Healthcare,Drug Manufacturers—General
GL,13.765739,9840320512.0,0.75,Financial Services,Insurance—Life
GPN,101.11794,58825101312.0,0.78,Industrials,Specialty Business Services
GS,12.381569,105394913280.0,5.0,Financial Services,Capital Markets
GWW,28.998518,19543277568.0,6.12,Industrials,Industrial Distribution
HAL,,17923727360.0,0.18,Energy,Oil & Gas Equipment & Services
HBI,,6447477248.0,0.6,Consumer Cyclical,Apparel Manufacturing
HIG,10.422269,17785184256.0,,Financial Services,Insurance—Diversified
HAS,56.46914,12535597056.0,2.72,Consumer Cyclical,Leisure
HCA,15.881922,58711445504.0,1.92,Healthcare,Medical Care Facilities
PEAK,,16666945536.0,1.2,Real Estate,REIT—Healthcare Facilities
HSIC,16.987038,9917220864.0,,Healthcare,Medical Distribution
HSY,24.775778,31508840448.0,,Consumer Defensive,Confectioners
HES,,18424619008.0,1.0,Energy,Oil & Gas E&P
HPE,,18600529920.0,0.48,Technology,Communication Equipment
HLT,,31112796160.0,,Consumer Cyclical,Lodging
HFC,,5144039424.0,1.4,Energy,Oil & Gas Refining & Marketing
HOLX,15.760685,21380794368.0,,Healthcare,Medical Instruments & Supplies
HD,24.00398,298767286272.0,6.0,Consumer Cyclical,Home Improvement Retail
HON,30.293158,142842232832.0,3.72,Industrials,Specialty Industrial Machinery
HRL,29.060242,26045646848.0,0.98,Consumer Defensive,Packaged Foods
HST,,10509416448.0,,Real Estate,REIT—Hotel & Motel
HWM,,12242581504.0,,Industrials,Specialty Industrial Machinery
HPQ,13.745,35452203008.0,0.78,Technology,Computer Hardware
HUM,15.039116,49049653248.0,2.5,Healthcare,Healthcare Plans
HBAN,20.942028,14698540032.0,0.6,Financial Services,Banks—Regional
HII,10.275964,7100998144.0,4.56,Industrials,Aerospace & Defense
IEX,40.459515,15131318272.0,2.0,Industrials,Specialty Industrial Machinery
IDXX,81.08495,46409973760.0,,Healthcare,Diagnostics & Research
INFO,43.12903,37117042688.0,0.8,Industrials,Consulting Services
ITW,30.313725,63614189568.0,4.56,Industrials,Specialty Industrial Machinery
ILMN,113.42922,73694961664.0,,Healthcare,Diagnostics & Research
INCY,,18538344448.0,,Healthcare,Biotechnology
IR,,18343450624.0,,Industrials,Specialty Industrial Machinery
INTC,12.512146,251134033920.0,1.39,Technology,Semiconductors
ICE,29.461538,62388797440.0,,Financial Services,Financial Data & Stock Exchanges
IBM,19.393162,107639693312.0,6.52,Technology,Information Technology Services
IP,40.311474,19332413440.0,2.05,Consumer Cyclical,Packaging & Containers
IPG,27.674156,9606561792.0,1.08,Communication Services,Advertising Agencies
IFF,41.763237,33337772032.0,3.08,Basic Materials,Specialty Chemicals
INTU,55.598976,113452310528.0,2.36,Technology,Software—Application
ISRG,91.58844,95093776384.0,,Healthcare,Medical Instruments & Supplies
IVZ,20.061947,10413124608.0,0.62,Financial Services,Asset Management
IPGP,128.501,13479214080.0,,Technology,Semiconductor Equipment & Materials
IQV,134.72728,36836593664.0,,Healthcare,Diagnostics & Research
IRM,72.10869,9558631424.0,2.47,Real Estate,REIT—Specialty
JKHY,37.449215,11079897088.0,1.72,Technology,Information Technology Services
J,,14946881536.0,0.84,Industrials,Engineering & Construction
JBHT,31.291142,15670601728.0,1.12,Industrials,Integrated Freight & Logistics
SJM,14.893892,12844354560.0,3.6,Consumer Defensive,Packaged Foods
JNJ,30.237795,438528507904.0,4.04,Healthcare,Drug Manufacturers—General
JCI,43.1401,38490320896.0,1.04,Industrials,Engineering & Construction
JPM,15.906531,430727757824.0,3.6,Financial Services,Banks—Diversified
JNPR,32.79221,8325834240.0,0.8,Technology,Communication Equipment
KSU,32.004585,19015352320.0,,Industrials,Railroads
K,15.807162,19722252288.0,2.32,Consumer Defensive,Packaged Foods
KEY,14.968602,18607990784.0,0.74,Financial Services,Banks—Regional
KEYS,46.36858,28560324608.0,,Technology,Scientific & Technical Instruments
KMB,19.232897,44708036608.0,4.56,Consumer Defensive,Household & Personal Products
KIM,8.013333,7798318080.0,0.64,Real Estate,REIT—Retail
KMI,315.7447,33604440064.0,1.05,Energy,Oil & Gas Midstream
KLAC,37.951504,51123625984.0,3.6,Technology,Semiconductor Equipment & Materials
KHC,122.034485,43268521984.0,1.6,Consumer Defensive,Packaged Foods
KR,9.087259,25847732224.0,0.72,Consumer Defensive,Grocery Stores
LB,,13132306432.0,,Consumer Cyclical,Apparel Retail
LHX,25.291798,39064023040.0,4.08,Industrials,Aerospace & Defense
LH,15.0037775,23230349312.0,,Healthcare,Diagnostics & Research
LRCX,29.11005,83766951936.0,5.2,Technology,Semiconductor Equipment & Materials
LW,38.19802,11292752896.0,0.94,Consumer Defensive,Packaged Foods
LVS,,42790486016.0,,Consumer Cyclical,Resorts & Casinos
LEG,23.26923,5612179456.0,1.6,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LDOS,25.305164,15342202880.0,1.36,Technology,Information Technology Services
LEN,11.7996435,28277635072.0,1.0,Consumer Cyclical,Residential Construction
LLY,30.537712,198289883136.0,3.4,Healthcare,Drug Manufacturers—General
LNC,20.449219,10117422080.0,1.68,Financial Services,Insurance—Life
LIN,53.670345,132620861440.0,4.24,Basic Materials,Specialty Chemicals
LYV,,17963307008.0,,Communication Services,Entertainment
LKQ,18.855974,11236416512.0,,Consumer Cyclical,Auto Parts
LMT,13.896067,94599192576.0,10.4,Industrials,Aerospace & Defense
L,,12983825408.0,0.25,Financial Services,Insurance—Property & Casualty
LOW,25.061537,129809211392.0,2.4,Consumer Cyclical,Home Improvement Retail
LUMN,,12924190720.0,1.0,Communication Services,Telecom Services
LYB,22.67453,32102973440.0,4.2,Basic Materials,Specialty Chemicals
MTB,14.308853,18247112704.0,4.4,Financial Services,Banks—Regional
MRO,,7080837120.0,0.12,Energy,Oil & Gas E&P
MPC,,32831848448.0,2.32,Energy,Oil & Gas Refining & Marketing
MKTX,70.388535,20976732160.0,2.64,Financial Services,Capital Markets
MAR,240.66914,41994506240.0,,Consumer Cyclical,Lodging
MMC,28.629442,57302401024.0,1.86,Financial Services,Insurance Brokers
MLM,28.66811,20602173440.0,2.28,Basic Materials,Building Materials
MAS,11.94046,14129952768.0,0.94,Industrials,Building Products & Equipment
MA,53.532185,339109150720.0,1.76,Financial Services,Credit Services
MKC,32.248203,23920412672.0,1.36,Consumer Defensive,Packaged Foods
MXIM,35.876213,25790904320.0,,Technology,Semiconductors
MCD,33.920074,159379226624.0,5.16,Consumer Cyclical,Restaurants
MCK,,29006596096.0,1.68,Healthcare,Medical Distribution
MDT,43.70073,161172422656.0,2.32,Healthcare,Medical Devices
MRK,26.978418,189752262656.0,2.6,Healthcare,Drug Manufacturers—General
MET,9.801056,49707741184.0,1.84,Financial Services,Insurance—Life
MTD,49.00281,28573210624.0,,Healthcare,Diagnostics & Research
MGM,,17747228672.0,0.01,Consumer Cyclical,Resorts & Casinos
MCHP,126.8283,42960756736.0,,Technology,Semiconductors
MU,33.198795,98454142976.0,,Technology,Semiconductors
MSFT,36.52751,1847768514560.0,2.24,Technology,Software—Infrastructure
MAA,63.077625,15799624704.0,4.1,Real Estate,REIT—Residential
MHK,3.3927016,12052498432.0,,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TAP,,9568654336.0,,Consumer Defensive,Beverages—Brewers
MDLZ,22.34413,77934346240.0,,Consumer Defensive,Confectioners
MNST,41.33844,48425828352.0,,Consumer Defensive,Beverages—Non-Alcoholic
MCO,29.677317,52334227456.0,2.24,Financial Services,Financial Data & Stock Exchanges
MS,11.549536,134984409088.0,1.4,Financial Services,Capital Markets
MOS,,11095963648.0,0.2,Basic Materials,Agricultural Inputs
MSI,33.223854,30695532544.0,2.84,Technology,Communication Equipment
MSCI,61.0632,35911999488.0,3.12,Financial Services,Financial Data & Stock Exchanges
NDAQ,25.400717,23291756544.0,1.96,Financial Services,Financial Data & Stock Exchanges
NTAP,22.77796,15605676032.0,1.92,Technology,Computer Hardware
NFLX,91.5329,246479945728.0,,Communication Services,Entertainment
NWL,,10263817216.0,0.92,Consumer Defensive,Household & Personal Products
NEM,18.522942,47349919744.0,1.6,Basic Materials,Gold
NWSA,,13968043008.0,,Communication Services,Broadcasting
NWS,,13968023552.0,,Communication Services,Broadcasting
NEE,56.168915,162857484288.0,1.4,Utilities,Utilities—Regulated Electric
NLSN,,8505583616.0,,Industrials,Consulting Services
NKE,80.11273,224050741248.0,1.1,Consumer Cyclical,Footwear & Accessories
NI,,8633766912.0,0.88,Utilities,Utilities—Regulated Gas
NSC,32.517544,64197255168.0,3.96,Industrials,Railroads
NTRS,17.97436,20441481216.0,2.8,Financial Services,Asset Management
NOC,15.625853,49575260160.0,5.8,Industrials,Aerospace & Defense
NLOK,,12493414400.0,,Technology,Software—Infrastructure
NCLH,,7430071808.0,,Consumer Cyclical,Travel Services
NOV,,5412400128.0,,Energy,Oil & Gas Equipment & Services
NRG,2.6282365,10511271936.0,1.3,Utilities,Utilities—Independent Power Producers
NUE,23.872883,17010679808.0,1.62,Basic Materials,Steel
NVDA,97.83391,370440568832.0,0.64,Technology,Semiconductors
NVR,20.4251,17369300992.0,,Consumer Cyclical,Residential Construction
ORLY,18.404163,30496724992.0,,Consumer Cyclical,Specialty Retail
OXY,,23643396096.0,0.04,Energy,Oil & Gas E&P
ODFL,37.360916,24898811904.0,0.8,Industrials,Trucking
OMC,14.937993,14241960960.0,2.6,Communication Services,Advertising Agencies
OKE,30.89726,20046747648.0,3.74,Energy,Oil & Gas Midstream
ORCL,19.08046,189926948864.0,0.96,Technology,Software—Infrastructure
OTIS,,27724587008.0,0.8,Industrials,Specialty Industrial Machinery
PCAR,26.203209,33966800896.0,1.28,Industrials,Farm & Heavy Construction Machinery
PKG,27.516527,12629565440.0,4.0,Consumer Cyclical,Packaging & Containers
PH,25.076252,35657334784.0,3.52,Industrials,Specialty Industrial Machinery
PAYX,30.511946,32240412672.0,2.48,Industrials,Staffing & Employment Services
PAYC,167.87805,23800451072.0,,Technology,Software—Application
PYPL,84.28531,349444964352.0,,Financial Services,Credit Services
PNR,25.072466,8921136128.0,0.8,Industrials,Specialty Industrial Machinery
PBCT,11.477272,6433902080.0,0.72,Financial Services,Banks—Regional
PEP,26.146484,184688377856.0,,Consumer Defensive,Beverages—Non-Alcoholic
PKI,23.18602,16859925504.0,0.28,Healthcare,Diagnostics & Research
PRGO,,6139365376.0,0.9,Healthcare,Drug Manufacturers—Specialty & Generic
PFE,20.339777,192987660288.0,1.56,Healthcare,Drug Manufacturers—General
PM,16.689924,134127599616.0,4.8,Consumer Defensive,Tobacco
PSX,,33734066176.0,3.6,Energy,Oil & Gas Refining & Marketing
PNW,13.578685,8578765824.0,3.32,Utilities,Utilities—Regulated Electric
PXD,127.07973,28602023936.0,,Energy,Oil & Gas E&P
PNC,9.561042,68802478080.0,4.6,Financial Services,Banks—Regional
POOL,37.663322,13567180800.0,2.32,Consumer Cyclical,Leisure
PPG,31.113855,32726065152.0,2.16,Basic Materials,Specialty Chemicals
PPL,13.907647,21534844928.0,1.66,Utilities,Utilities—Regulated Electric
PFG,12.277161,14793729024.0,2.24,Financial Services,Insurance—Diversified
PG,24.115648,314261700608.0,3.16,Consumer Defensive,Household & Personal Products
PGR,8.930641,50485202944.0,4.9,Financial Services,Insurance—Property & Casualty
PLD,53.62052,79621963776.0,2.32,Real Estate,REIT—Industrial
PRU,,32052903936.0,4.6,Financial Services,Insurance—Life
PEG,15.456234,29475762176.0,1.96,Utilities,Utilities—Diversified
PSA,35.725735,40534228992.0,8.0,Real Estate,REIT—Industrial
PHM,9.366305,12890541056.0,0.56,Consumer Cyclical,Residential Construction
PVH,,6836284416.0,,Consumer Cyclical,Apparel Manufacturing
QRVO,42.338223,19934287872.0,,Technology,Semiconductors
PWR,28.819395,10813106176.0,0.24,Industrials,Engineering & Construction
QCOM,25.295727,168105279488.0,2.6,Technology,Semiconductors
DGX,12.036294,16760659968.0,,Healthcare,Diagnostics & Research
RL,,8094206464.0,,Consumer Cyclical,Apparel Manufacturing
RJF,18.515574,15716957184.0,1.56,Financial Services,Capital Markets
RTX,,110329446400.0,1.9,Industrials,Aerospace & Defense
O,52.00666,23321188352.0,2.81,Real Estate,REIT—Retail
REG,202.38461,8928561152.0,2.38,Real Estate,REIT—Retail
REGN,15.911533,52025442304.0,,Healthcare,Biotechnology
RF,18.990292,18786285568.0,,Financial Services,Banks—Regional
RSG,28.599186,29086842880.0,1.7,Industrials,Waste Management
RMD,41.868477,29181829120.0,1.56,Healthcare,Medical Instruments & Supplies
RHI,27.325926,8409444352.0,1.52,Industrials,Staffing & Employment Services
ROK,22.288013,28943501312.0,,Industrials,Specialty Industrial Machinery
ROL,70.92453,18480146432.0,0.32,Consumer Cyclical,Personal Services
ROP,44.100224,41531408384.0,2.25,Industrials,Specialty Industrial Machinery
ROST,138.47673,42451177472.0,,Consumer Cyclical,Apparel Retail
RCL,,16054346752.0,,Consumer Cyclical,Travel Services
SPGI,35.139755,81705615360.0,3.08,Financial Services,Financial Data & Stock Exchanges
CRM,62.304302,220595716096.0,,Technology,Software—Application
SBAC,,29308690432.0,1.86,Real Estate,REIT—Specialty
SLB,,37272674304.0,0.5,Energy,Oil & Gas Equipment & Services
STX,18.863636,17090806784.0,2.68,Technology,Computer Hardware
