Ticker,Name,Sector,Industry,P/E,Market Cap,Dividend Yield
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,21.26235,10463867904.0,1.73%
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,21.94854,23465146368.0,None
CDW,CDW Corporation,Technology,Information Technology Services,28.645872,22323286016.0,1.03%
CE,Celanese Corporation Celanese C,Basic Materials,Chemicals,7.862559,15035442176.0,2.07%
CNC,Centene Corporation,Healthcare,Healthcare Plans,18.685898,33900224512.0,None
CNP,"CenterPoint Energy, Inc",Utilities,Utilities—Regulated Gas,,11463033856.0,2.99%
CERN,Cerner Corporation,Healthcare,Health Information Services,29.063492,22454652928.0,1.21%
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,34.186836,9667933184.0,2.65%
SCHW,Charles Schwab Corporation,Financial Services,Capital Markets,28.683964,114266857472.0,1.18%
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,40.350002,120382513152.0,None
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,,183530455040.0,5.54%
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,116.439285,41029029888.0,None
CB,Chubb Limited,Financial Services,Insurance—Property & Casualty,21.125803,74282131456.0,1.90%
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,26.495193,20281858048.0,1.24%
CI,Cigna Corporation,Healthcare,Healthcare Plans,8.921556,71807459328.0,1.97%
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance—Property & Casualty,12.166889,14662542336.0,2.77%
CTAS,Cintas Corporation,Industrials,Specialty Business Services,38.489063,36038942720.0,0.87%
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,19.248953,194394587136.0,3.18%
C,"Citigroup, Inc.",Financial Services,Banks—Diversified,13.227349,134233194496.0,3.18%
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks—Regional,18.942389,17965076480.0,3.71%
CTXS,"Citrix Systems, Inc.",Technology,Software—Application,33.56625,16509761536.0,1.08%
CLX,Clorox Company,Consumer Defensive,Household & Personal Products,19.52914,23477633024.0,2.42%
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,32.07653,67709292544.0,1.90%
CMS,CMS Energy Corporation,Utilities,Utilities—Regulated Electric,21.117424,16108572672.0,3.14%
KO,Coca-Cola Company,Consumer Defensive,Beverages—Non-Alcoholic,28.167597,216906842112.0,3.26%
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,29.439692,40146259968.0,1.26%
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,25.079617,67502059520.0,2.25%
CMCSA,Comcast Corporation,Communication Services,Entertainment,23.11623,241423712256.0,1.88%
CMA,Comerica Incorporated,Financial Services,Banks—Regional,20.155964,9180341248.0,4.13%
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,14.994937,16637826048.0,3.24%
COP,ConocoPhillips,Energy,Oil & Gas E&P,,65686011904.0,3.65%
ED,"Consolidated Edison, Inc.",Utilities,Utilities—Regulated Electric,17.355045,23557990400.0,4.43%
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages—Wineries & Distilleries,22.126387,44668092416.0,1.29%
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,79.821205,18868002816.0,0.02%
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,40.834793,27490603008.0,None
GLW,Corning Incorporated,Technology,Electronic Components,71.111115,29505333248.0,2.49%
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,,33527435264.0,1.17%
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,36.35113,156832645120.0,0.79%
CCI,Crown Castle International Corp,Real Estate,REIT—Specialty,68.93192,69865963520.0,3.28%
CSX,CSX Corporation,Industrials,Railroads,24.916666,68396699648.0,1.23%
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,20.185337,35796123648.0,2.21%
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,11.889256,94325407744.0,2.84%
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,10.471201,28166901760.0,1.01%
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,49.345604,171564302336.0,0.30%
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,,16768651264.0,1.15%
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,16.190779,11124336640.0,None
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,36.222095,98970288128.0,0.96%
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,,28311392256.0,None
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,,11703620608.0,0.72%
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,,14606423040.0,2.20%
DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,80.93676,39388491776.0,None
FANG,"Diamondback Energy, Inc. - Comm",Energy,Oil & Gas E&P,,10899048448.0,2.21%
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT—Office,137.31,38486618112.0,3.27%
DFS,Discover Financial Services,Financial Services,Credit Services,26.106785,28821159936.0,1.84%
DISCA,"Discovery, Inc. - Series A",Communication Services,Entertainment,26.5764,21328599040.0,None
DISCK,"Discovery, Inc. - Series C",Communication Services,Entertainment,22.612188,21216493568.0,None
DISH,DISH Network Corporation,Communication Services,Entertainment,13.23829,17095260160.0,None
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,19.8812,49201102848.0,0.72%
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,26.477007,25213851648.0,None
D,"Dominion Energy, Inc.",Utilities,Utilities—Diversified,,58494222336.0,3.54%
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants,32.148907,14800966656.0,0.83%
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,25.701065,17352079360.0,1.63%
DOW,Dow Inc.,Basic Materials,Chemicals,35.57317,43400003584.0,4.82%
DTE,DTE Energy Company,Utilities,Utilities—Regulated Electric,16.997595,23247523840.0,3.60%
DUK,Duke Energy Corporation,Utilities,Utilities—Regulated Electric,51.448517,65088212992.0,4.37%
DRE,Duke Realty Corporation,Real Estate,REIT—Industrial,51.496895,15419230208.0,2.37%
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,,38330773504.0,1.69%
DXC,DXC Technology Company,Technology,Information Technology Services,,6523971072.0,None
EMN,Eastman Chemical Company,Basic Materials,Chemicals,31.225714,14805298176.0,2.50%
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,35.512894,49402486784.0,2.36%
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,7.9244804,42555092992.0,1.16%
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,,59520991232.0,0.91%
EIX,Edison International,Utilities,Utilities—Regulated Electric,58.466736,21289519104.0,4.65%
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,66.11539,53677404160.0,None
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,35.74413,41586405376.0,0.47%
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,24.468887,50726539264.0,2.37%
ENPH,"Enphase Energy, Inc.",Technology,Solar,196.51852,23960489984.0,None
ETR,Entergy Corporation,Utilities,Utilities—Diversified,13.493688,18618664960.0,4.05%
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,,36519460864.0,2.38%
EFX,"Equifax, Inc.",Industrials,Consulting Services,40.891514,21117683712.0,0.89%
EQIX,"Equinix, Inc.",Real Estate,REIT—Specialty,167.16269,62258917376.0,1.67%
EQR,Equity Residential,Real Estate,REIT—Residential,27.226309,24813930496.0,3.59%
ESS,"Essex Property Trust, Inc.",Real Estate,REIT—Residential,30.713465,17403107328.0,3.10%
EL,"Estee Lauder Companies, Inc.",Consumer Defensive,Household & Personal Products,116.258415,106573160448.0,0.72%
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,118.83996,27901415424.0,None
EVRG,"Evergy, Inc.",Utilities,Utilities—Regulated Electric,19.829832,12423588864.0,3.93%
ES,Eversource Energy,Utilities,Utilities—Regulated Electric,23.426058,28293263360.0,2.87%
RE,"Everest Re Group, Ltd.",Financial Services,Insurance—Reinsurance,18.9241,9670130688.0,2.55%
EXC,Exelon Corporation,Utilities,Utilities—Diversified,17.152264,40661839872.0,3.64%
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,,,None
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,25.37092,15919467520.0,1.11%
EXR,Extra Space Storage Inc,Real Estate,REIT—Industrial,34.95992,15466747904.0,3.07%
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,,222690082816.0,6.89%
FFIV,"F5 Networks, Inc.",Technology,Software—Infrastructure,42.51612,12599882752.0,None
FB,"Facebook, Inc.",Communication Services,Internet Content & Information,26.988106,775449018368.0,None
FAST,Fastenal Company,Industrials,Industrial Distribution,31.345638,26823475200.0,2.40%
FRT,Federal Realty Investment Trust,Real Estate,REIT—Retail,62.148148,7726979072.0,4.18%
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,27.841486,68345909248.0,0.99%
FIS,Fidelity National Information S,Technology,Information Technology Services,529.68,82167799808.0,1.17%
FITB,Fifth Third Bancorp,Financial Services,Banks—Regional,18.322403,23898841088.0,3.23%
FE,FirstEnergy Corp.,Utilities,Utilities—Diversified,23.76212,17289631744.0,4.89%
FRC,FIRST REPUBLIC BANK,Financial Services,Banks—Regional,28.216867,28231942144.0,0.49%
FISV,"Fiserv, Inc.",Technology,Information Technology Services,79.5155,74431922176.0,None
FLT,"FleetCor Technologies, Inc.",Technology,Information Technology Services,33.377464,22675632128.0,None
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,53.262955,7278991360.0,1.24%
FLS,Flowserve Corporation,Industrials,N/A,34.500893,5042480640.0,2.04%
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,25.612125,14034518016.0,1.77%
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,,46053335040.0,None
FTNT,"Fortinet, Inc.",Technology,Software—Infrastructure,55.948452,26429272064.0,None
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,14.95879,22715260928.0,0.40%
FBHS,"Fortune Brands Home & Security,",Consumer Cyclical,"Furnishings, Fixtures & Appliances",21.560913,11802017792.0,1.21%
FOXA,Fox Corporation,Communication Services,Broadcasting,12.663238,18618335232.0,1.41%
FOX,Fox Corporation,Communication Services,N/A,12.216067,18593773568.0,1.46%
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,17.682926,13923879936.0,3.99%
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,83.768295,50143703040.0,None
GPS,"Gap, Inc.",Consumer Cyclical,Apparel Retail,,8516640256.0,None
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,24.670546,25132365824.0,1.87%
IT,"Gartner, Inc.",N/A,Information Technology Services,75.94856,16085033984.0,None
GD,General Dynamics Corporation,N/A,N/A,14.798636,46714736640.0,None
GE,N/A,Industrials,N/A,20.538195,103724728320.0,0.34%
GIS,"General Mills, Inc.",N/A,Packaged Foods,14.468222,34518675456.0,3.62%
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,12.240185,76368224256.0,None
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,,14309238784.0,3.10%
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers—General,656.1225,80601980928.0,4.38%
GL,Globe Life Inc.,Financial Services,Insurance—Life,13.733529,9817295872.0,0.80%
GPN,Global Payments Inc.,Industrials,Specialty Business Services,99.24872,57737682944.0,0.40%
GS,"Goldman Sachs Group, Inc.",Financial Services,Capital Markets,12.668149,107834351616.0,1.60%
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,28.77874,19395160064.0,1.66%
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,,17959272448.0,0.87%
HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,,6111063552.0,3.24%
HIG,Hartford Financial Services Gro,Financial Services,Insurance—Diversified,10.444327,17822828544.0,2.87%
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,55.500004,12320458752.0,3.04%
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,16.071396,59411886080.0,1.11%
PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT—Healthcare Facilities,,16373361664.0,3.88%
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,16.338957,9538864128.0,None
HSY,The Hershey Company,Consumer Defensive,Confectioners,24.859247,31614992384.0,2.12%
HES,Hess Corporation,Energy,N/A,,18877556736.0,1.67%
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,,18108999680.0,3.34%
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,,31620521984.0,None
HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,,5387064832.0,4.41%
HOLX,"Hologic, Inc.",N/A,N/A,15.824312,21467109376.0,None
HD,"Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,24.039875,299214045184.0,2.16%
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,29.802084,140526665728.0,1.83%
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,28.228916,25300557824.0,2.08%
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT—Hotel & Motel,,11045467136.0,None
HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery,,12359465984.0,None
HPQ,HP Inc.,Technology,Computer Hardware,13.2075,34065840128.0,2.85%
HUM,Humana Inc.,Healthcare,Healthcare Plans,14.840775,48402767872.0,0.67%
HBAN,Huntington Bancshares Incorpora,Financial Services,N/A,21.637682,15187543040.0,3.99%
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,10.373396,7168327168.0,2.60%
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,39.204453,14661942272.0,1.00%
IDXX,"IDEXX Laboratories, Inc.",N/A,Diagnostics & Research,80.15425,45945147392.0,None
INFO,IHS Markit Ltd.,Industrials,Consulting Services,42.788017,36823568384.0,0.85%
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,29.69834,62350749696.0,2.29%
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,110.81517,71996612608.0,None
INCY,Incyte Corporation,Healthcare,Biotechnology,,18129434624.0,None
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,,17971736576.0,None
INTC,Intel Corporation,Technology,Semiconductors,12.538461,251662221312.0,2.23%
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,29.923077,63366164480.0,1.17%
IBM,International Business Machines,Technology,Information Technology Services,19.194092,106534772736.0,5.40%
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,39.758198,19067074560.0,4.17%
IPG,"Interpublic Group of Companies,",Communication Services,Advertising Agencies,28.016853,9725522944.0,4.34%
IFF,Internationa Flavors & Fragranc,Basic Materials,Specialty Chemicals,42.130844,33631213568.0,2.25%
INTU,Intuit Inc.,Technology,Software—Application,55.582863,113419419648.0,0.56%
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,88.51995,91907850240.0,None
IVZ,Invesco Ltd,Financial Services,Asset Management,19.818584,10286808064.0,2.71%
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,121.86991,12783639552.0,None
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research,132.90909,36354863104.0,None
IRM,Iron Mountain Incorporated,Real Estate,REIT—Specialty,71.18478,9436158976.0,7.50%
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,38.169197,11292913664.0,1.18%
J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction,,14456457216.0,0.73%
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,30.168777,15108521984.0,0.77%
SJM,J.M. Smucker Company,Consumer Defensive,Packaged Foods,14.81884,12779629568.0,3.18%
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,30.059904,435948617728.0,2.43%
JCI,Johnson Controls International ,Industrials,Engineering & Construction,44.074078,39323631616.0,1.96%
JPM,JP Morgan Chase & Co.,N/A,Banks—Diversified,16.236485,439662477312.0,2.49%
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,31.636366,7994270208.0,3.27%
KSU,Kansas City Southern,Industrials,Railroads,31.805809,18897250304.0,1.02%
K,Kellogg Company,N/A,Packaged Foods,15.876033,19808180224.0,4.08%
KEY,KeyCorp,Financial Services,N/A,15.345367,19076362240.0,3.74%
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,44.409367,27353563136.0,None
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,19.003637,44175110144.0,3.50%
KIM,Kimco Realty Corporation,Real Estate,REIT—Retail,7.806667,7597196800.0,3.63%
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,319.5745,34012041216.0,6.98%
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,37.41393,50399473664.0,1.07%
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,124.43104,44118241280.0,4.52%
KR,Kroger Company,Consumer Defensive,Grocery Stores,9.108672,25908637696.0,2.14%
LB,"L Brands, Inc.",Consumer Cyclical,Apparel Retail,,13360356352.0,None
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,25.517618,39412809728.0,2.21%
LH,N/A,Healthcare,Diagnostics & Research,15.336902,23746125824.0,None
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,28.65117,82446483456.0,0.88%
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,37.762375,11163960320.0,1.23%
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,,44351778816.0,None
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",22.912088,5526042624.0,3.79%
LDOS,"Leidos Holdings, Inc.",N/A,Information Technology Services,,,None
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,10.948254,26266073088.0,1.13%
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers—General,30.271803,196563255296.0,1.65%
LNC,Lincoln National Corporation,Financial Services,Insurance—Life,21.070312,10424713216.0,3.10%
LIN,Linde plc,Basic Materials,Specialty Chemicals,52.742138,130327240704.0,1.70%
LYV,N/A,Communication Services,Entertainment,,17983582208.0,None
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,18.580185,11072070656.0,None
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,13.867676,94405918720.0,3.10%
L,Loews Corporation,Financial Services,Insurance—Property & Casualty,,12839620608.0,0.51%
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,,,None
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,,12902248448.0,8.48%
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,22.757076,32219844608.0,4.29%
MTB,N/A,Financial Services,Banks—Regional,14.787224,18857146368.0,2.96%
MRO,Marathon Oil Corporation,N/A,Oil & Gas E&P,,7380806144.0,1.34%
