Ticker,P/E,Market Cap,Dividend Rate
ANET,36.172523,24462120960.0,24462120960.0
AJG,27.780954,22605582336.0,22605582336.0
AIZ,18.322609,7528816640.0,7528816640.0
T,,205228802048.0,205228802048.0
ATO,17.689919,11669059584.0,11669059584.0
ADSK,158.26764,67096928256.0,67096928256.0
ADP,28.948008,71478820864.0,71478820864.0
AZO,15.02306,26096721920.0,26096721920.0
AVB,30.47708,25061210112.0,25061210112.0
AVY,26.812405,14784117760.0,14784117760.0
BKR,,23500402688.0,23500402688.0
BLL,50.954544,29335404544.0,29335404544.0
BAC,17.84492,288677527552.0,288677527552.0
BK,10.947781,37182017536.0,37182017536.0
BAX,36.96244,39766839296.0,39766839296.0
BDX,48.767124,74476339200.0,74476339200.0
BRK.B,,,
BBY,18.364828,31205462016.0,31205462016.0
BIO,5.248415,19771478016.0,19771478016.0
BIIB,11.210887,42353979392.0,42353979392.0
BLK,22.699528,110278295552.0,110278295552.0
BA,,123000700928.0,123000700928.0
BKNG,63.840057,88076795904.0,88076795904.0
BWA,17.975172,10267353088.0,10267353088.0
BXP,16.98556,14653158400.0,14653158400.0
BSX,14.737043,54368686080.0,54368686080.0
BMY,,134406397952.0,134406397952.0
AVGO,76.85209,197792661504.0,197792661504.0
BR,33.462147,17146358784.0,17146358784.0
BF.B,,,
CHRW,24.54301,12411870208.0,12411870208.0
COG,34.266914,7266113024.0,7266113024.0
CDNS,37.770287,40634667008.0,40634667008.0
CPB,8.025751,14162678784.0,14162678784.0
COF,22.718502,54047248384.0,54047248384.0
CAH,11.022317,15229622272.0,15229622272.0
KMX,27.488462,20333877248.0,20333877248.0
CCL,,22996193280.0,22996193280.0
CARR,,32404258816.0,32404258816.0
CTLT,69.401665,21324337152.0,21324337152.0
CAT,36.261906,107559649280.0,107559649280.0
CBOE,19.62459,9657874432.0,9657874432.0
CBRE,22.38155,23928076288.0,23928076288.0
CDW,28.513762,22220335104.0,22220335104.0
CE,7.9246516,15154182144.0,15154182144.0
CNC,18.97436,34423554048.0,34423554048.0
CNP,,11648272384.0,11648272384.0
CERN,29.742062,22978920448.0,22978920448.0
CF,33.555218,9489313792.0,9489313792.0
SCHW,27.448114,109343662080.0,109343662080.0
CHTR,39.83442,118844293120.0,118844293120.0
CVX,,178159681536.0,178159681536.0
CMG,122.02076,42995740672.0,42995740672.0
CB,21.073172,74097065984.0,74097065984.0
CHD,26.583336,20349329408.0,20349329408.0
CI,9.013023,72543657984.0,72543657984.0
CINF,12.339119,14870099968.0,14870099968.0
CTAS,38.411667,35966472192.0,35966472192.0
CSCO,19.78661,199824359424.0,199824359424.0
C,13.054986,132484022272.0,132484022272.0
CFG,18.252253,17310547968.0,17310547968.0
CTXS,34.42,16929682432.0,16929682432.0
CLX,19.459036,23393351680.0,23393351680.0
CME,31.35544,66187169792.0,66187169792.0
CMS,21.35606,16290607104.0,16290607104.0
KO,28.318436,218068385792.0,218068385792.0
CTSH,29.945526,40788799488.0,40788799488.0
CL,24.977707,67227766784.0,67227766784.0
CMCSA,23.34649,243828539392.0,243828539392.0
CMA,19.055046,8678910976.0,8678910976.0
CAG,15.213563,16880404480.0,16880404480.0
COP,,63884349440.0,63884349440.0
ED,17.532692,23799130112.0,23799130112.0
STZ,23.277376,46768017408.0,46768017408.0
COO,80.12474,18939750400.0,18939750400.0
CPRT,41.88881,28200183808.0,28200183808.0
GLW,68.296295,28213200896.0,28213200896.0
CTVA,,33014030336.0,33014030336.0
COST,36.216633,156252372992.0,156252372992.0
CCI,69.98299,70931267584.0,70931267584.0
CSX,25.038889,68732198912.0,68732198912.0
CMI,20.313906,36024123392.0,36024123392.0
CVS,12.266115,97134206976.0,97134206976.0
DHI,11.111412,29889032192.0,29889032192.0
DHR,50.286297,174834892800.0,174834892800.0
DRI,,16740631552.0,16740631552.0
DVA,16.636032,11430260736.0,11430260736.0
DE,36.018414,98413772800.0,98413772800.0
DAL,,27607506944.0,27607506944.0
XRAY,,12097018880.0,12097018880.0
DVN,,13448677376.0,13448677376.0
DXCM,81.5336,39678947328.0,39678947328.0
FANG,,10921167872.0,10921167872.0
DLR,140.06,39257415680.0,39257415680.0
DFS,26.062292,28772040704.0,28772040704.0
DISCA,26.481995,21193611264.0,21193611264.0
DISCK,22.576178,21193625600.0,21193625600.0
DISH,12.7739315,16495610880.0,16495610880.0
DG,19.66142,48657199104.0,48657199104.0
DLTR,26.76587,25488932864.0,25488932864.0
D,,58632912896.0,58632912896.0
DPZ,32.962772,15175659520.0,15175659520.0
DOV,26.112768,17685762048.0,17685762048.0
DOW,35.457317,43258658816.0,43258658816.0
DTE,17.115767,23409145856.0,23409145856.0
DUK,52.25131,66103836672.0,66103836672.0
DRE,51.652176,15465723904.0,15465723904.0
DD,,38339297280.0,38339297280.0
DXC,,6565979648.0,6565979648.0
EMN,31.208572,14797169664.0,14797169664.0
ETN,35.524357,49418428416.0,49418428416.0
EBAY,7.984034,42874900480.0,42874900480.0
ECL,,62763646976.0,62763646976.0
EIX,60.197506,21919744000.0,21919744000.0
EW,67.42308,54627688448.0,54627688448.0
EA,36.524105,42493865984.0,42493865984.0
EMR,24.69754,51200561152.0,51200561152.0
ENPH,217.37894,26089027584.0,26089027584.0
ETR,13.770135,19000109056.0,19000109056.0
EOG,,35597725696.0,35597725696.0
EFX,41.790096,21581742080.0,21581742080.0
EQIX,169.811,63245275136.0,63245275136.0
EQR,27.565361,25122940928.0,25122940928.0
ESS,30.9954,17562859520.0,17562859520.0
EL,114.85952,105290801152.0,105290801152.0
ETSY,125.59614,29487640576.0,29487640576.0
EVRG,19.706734,12346466304.0,12346466304.0
ES,24.175419,29198319616.0,29198319616.0
RE,19.056337,9737703424.0,9737703424.0
EXC,17.370369,41178890240.0,41178890240.0
EXPE,,21077659648.0,21077659648.0
EXPD,26.053413,16347710464.0,16347710464.0
EXR,34.703087,15353122816.0,15353122816.0
XOM,,213851160576.0,213851160576.0
FFIV,43.815266,12984891392.0,12984891392.0
FB,26.808722,770294743040.0,770294743040.0
FAST,31.805368,27216881664.0,27216881664.0
FRT,63.166668,7853613056.0,7853613056.0
FDX,28.398663,69713674240.0,69713674240.0
FIS,542.4,84141023232.0,84141023232.0
FITB,17.765026,23171825664.0,23171825664.0
FE,23.29605,16950511616.0,16950511616.0
FRC,26.745268,26759555072.0,26759555072.0
FISV,78.564285,73541517312.0,73541517312.0
FLT,32.54926,22112974848.0,22112974848.0
FLIR,52.4856,7172757504.0,7172757504.0
FLS,35.481285,5185769984.0,5185769984.0
FMC,25.49846,13972234240.0,13972234240.0
F,,45555998720.0,45555998720.0
FTNT,56.608246,26740948992.0,26740948992.0
FTV,15.914552,24166606848.0,24166606848.0
FBHS,22.802029,12481380352.0,12481380352.0
FOXA,12.896716,18953758720.0,18953758720.0
FOX,12.445588,18953750528.0,18953750528.0
BEN,17.727858,13959259136.0,13959259136.0
FCX,76.17073,45595799552.0,45595799552.0
GPS,,8636329984.0,8636329984.0
GRMN,24.535385,24994674688.0,24994674688.0
IT,77.12057,16333251584.0,16333251584.0
GD,14.984546,47301595136.0,47301595136.0
GE,20.364584,102847930368.0,102847930368.0
GIS,14.638647,34925281280.0,34925281280.0
GM,12.378753,77232775168.0,77232775168.0
GPC,,14330883072.0,14330883072.0
GILD,682.551,83848617984.0,83848617984.0
GL,13.765739,9840320512.0,9840320512.0
GPN,101.11794,58825101312.0,58825101312.0
GS,12.381569,105394913280.0,105394913280.0
GWW,28.998518,19543277568.0,19543277568.0
HAL,,17923727360.0,17923727360.0
HBI,,6447477248.0,6447477248.0
HIG,10.422269,17785184256.0,17785184256.0
HAS,56.46914,12535597056.0,12535597056.0
HCA,15.881922,58711445504.0,58711445504.0
PEAK,,16666945536.0,16666945536.0
HSIC,16.987038,9917220864.0,9917220864.0
HSY,24.775778,31508840448.0,31508840448.0
HES,,18424619008.0,18424619008.0
HPE,,18600529920.0,18600529920.0
HLT,,31112796160.0,31112796160.0
HFC,,5144039424.0,5144039424.0
HOLX,15.760685,21380794368.0,21380794368.0
HD,24.00398,298767286272.0,298767286272.0
HON,30.293158,142842232832.0,142842232832.0
HRL,29.060242,26045646848.0,26045646848.0
HST,,10509416448.0,10509416448.0
HWM,,12242581504.0,12242581504.0
HPQ,13.745,35452203008.0,35452203008.0
HUM,15.039116,49049653248.0,49049653248.0
HBAN,20.942028,14698540032.0,14698540032.0
HII,10.275964,7100998144.0,7100998144.0
IEX,40.459515,15131318272.0,15131318272.0
IDXX,81.08495,46409973760.0,46409973760.0
INFO,43.12903,37117042688.0,37117042688.0
ITW,30.313725,63614189568.0,63614189568.0
ILMN,113.42922,73694961664.0,73694961664.0
INCY,,18538344448.0,18538344448.0
IR,,18343450624.0,18343450624.0
INTC,12.512146,251134033920.0,251134033920.0
ICE,29.461538,62388797440.0,62388797440.0
IBM,19.393162,107639693312.0,107639693312.0
IP,40.311474,19332413440.0,19332413440.0
IPG,27.674156,9606561792.0,9606561792.0
IFF,41.763237,33337772032.0,33337772032.0
INTU,55.598976,113452310528.0,113452310528.0
ISRG,91.58844,95093776384.0,95093776384.0
IVZ,20.061947,10413124608.0,10413124608.0
IPGP,128.501,13479214080.0,13479214080.0
IQV,134.72728,36836593664.0,36836593664.0
IRM,72.10869,9558631424.0,9558631424.0
JKHY,37.449215,11079897088.0,11079897088.0
J,,14946881536.0,14946881536.0
JBHT,31.291142,15670601728.0,15670601728.0
SJM,14.893892,12844354560.0,12844354560.0
JNJ,30.237795,438528507904.0,438528507904.0
JCI,43.1401,38490320896.0,38490320896.0
JPM,15.906531,430727757824.0,430727757824.0
JNPR,32.79221,8325834240.0,8325834240.0
KSU,32.004585,19015352320.0,19015352320.0
K,15.807162,19722252288.0,19722252288.0
KEY,14.968602,18607990784.0,18607990784.0
KEYS,46.36858,28560324608.0,28560324608.0
KMB,19.232897,44708036608.0,44708036608.0
KIM,8.013333,7798318080.0,7798318080.0
KMI,315.7447,33604440064.0,33604440064.0
KLAC,37.951504,51123625984.0,51123625984.0
KHC,122.034485,43268521984.0,43268521984.0
KR,9.087259,25847732224.0,25847732224.0
LB,,13132306432.0,13132306432.0
LHX,25.291798,39064023040.0,39064023040.0
LH,15.0037775,23230349312.0,23230349312.0
LRCX,29.11005,83766951936.0,83766951936.0
LW,38.19802,11292752896.0,11292752896.0
LVS,,42790486016.0,42790486016.0
LEG,23.26923,5612179456.0,5612179456.0
LDOS,25.305164,15342202880.0,15342202880.0
LEN,11.7996435,28277635072.0,28277635072.0
LLY,30.537712,198289883136.0,198289883136.0
LNC,20.449219,10117422080.0,10117422080.0
LIN,53.670345,132620861440.0,132620861440.0
LYV,,17963307008.0,17963307008.0
LKQ,18.855974,11236416512.0,11236416512.0
LMT,13.896067,94599192576.0,94599192576.0
L,,12983825408.0,12983825408.0
LOW,25.061537,129809211392.0,129809211392.0
LUMN,,12924190720.0,12924190720.0
LYB,22.67453,32102973440.0,32102973440.0
MTB,14.308853,18247112704.0,18247112704.0
MRO,,7080837120.0,7080837120.0
MPC,,32831848448.0,32831848448.0
MKTX,70.388535,20976732160.0,20976732160.0
MAR,240.66914,41994506240.0,41994506240.0
MMC,28.629442,57302401024.0,57302401024.0
MLM,28.66811,20602173440.0,20602173440.0
MAS,11.94046,14129952768.0,14129952768.0
MA,53.532185,339109150720.0,339109150720.0
MKC,32.248203,23920412672.0,23920412672.0
MXIM,35.876213,25790904320.0,25790904320.0
MCD,33.920074,159379226624.0,159379226624.0
MCK,,29006596096.0,29006596096.0
MDT,43.70073,161172422656.0,161172422656.0
MRK,26.978418,189752262656.0,189752262656.0
MET,9.801056,49707741184.0,49707741184.0
MTD,49.00281,28573210624.0,28573210624.0
MGM,,17747228672.0,17747228672.0
MCHP,126.8283,42960756736.0,42960756736.0
MU,33.198795,98454142976.0,98454142976.0
MSFT,36.52751,1847768514560.0,1847768514560.0
MAA,63.077625,15799624704.0,15799624704.0
MHK,3.3927016,12052498432.0,12052498432.0
TAP,,9568654336.0,9568654336.0
MDLZ,22.34413,77934346240.0,77934346240.0
MNST,41.33844,48425828352.0,48425828352.0
MCO,29.677317,52334227456.0,52334227456.0
MS,11.549536,134984409088.0,134984409088.0
MOS,,11095963648.0,11095963648.0
MSI,33.223854,30695532544.0,30695532544.0
MSCI,61.0632,35911999488.0,35911999488.0
NDAQ,25.400717,23291756544.0,23291756544.0
NTAP,22.77796,15605676032.0,15605676032.0
NFLX,91.5329,246479945728.0,246479945728.0
NWL,,10263817216.0,10263817216.0
NEM,18.522942,47349919744.0,47349919744.0
NWSA,,13968043008.0,13968043008.0
NWS,,13968023552.0,13968023552.0
NEE,56.168915,162857484288.0,162857484288.0
NLSN,,8489436672.0,8489436672.0
NKE,80.11273,224050741248.0,224050741248.0
NI,,8633766912.0,8633766912.0
NSC,32.517544,64197255168.0,64197255168.0
NTRS,17.97436,20441481216.0,20441481216.0
NOC,15.625853,49575260160.0,49575260160.0
NLOK,,12493414400.0,12493414400.0
NCLH,,7430071808.0,7430071808.0
NOV,,5412400128.0,5412400128.0
NRG,2.6282365,10511271936.0,10511271936.0
NUE,23.872883,17010679808.0,17010679808.0
NVDA,97.83391,370440568832.0,370440568832.0
NVR,20.4251,17369300992.0,17369300992.0
ORLY,18.404163,30496724992.0,30496724992.0
OXY,,23643396096.0,23643396096.0
ODFL,37.360916,24898811904.0,24898811904.0
OMC,14.937993,14241960960.0,14241960960.0
OKE,30.89726,20046747648.0,20046747648.0
ORCL,19.08046,189926948864.0,189926948864.0
OTIS,,27724587008.0,27724587008.0
PCAR,26.203209,33966800896.0,33966800896.0
PKG,27.516527,12629565440.0,12629565440.0
PH,25.076252,35657334784.0,35657334784.0
PAYX,30.511946,32240412672.0,32240412672.0
PAYC,167.87805,23800451072.0,23800451072.0
PYPL,84.28531,349444964352.0,349444964352.0
PNR,25.072466,8921136128.0,8921136128.0
PBCT,11.477272,6433902080.0,6433902080.0
PEP,26.146484,184688377856.0,184688377856.0
PKI,23.18602,16859925504.0,16859925504.0
PRGO,,6139365376.0,6139365376.0
PFE,20.339777,192987660288.0,192987660288.0
PM,16.689924,134127599616.0,134127599616.0
PSX,,33734066176.0,33734066176.0
PNW,13.578685,8578765824.0,8578765824.0
PXD,127.07973,28602023936.0,28602023936.0
PNC,9.561042,68802478080.0,68802478080.0
POOL,37.663322,13567180800.0,13567180800.0
PPG,31.113855,32726065152.0,32726065152.0
PPL,13.907647,21534844928.0,21534844928.0
PFG,12.277161,14793729024.0,14793729024.0
PG,24.115648,314261700608.0,314261700608.0
PGR,8.930641,50485202944.0,50485202944.0
PLD,53.62052,79621963776.0,79621963776.0
PRU,,32052903936.0,32052903936.0
PEG,15.456234,29475762176.0,29475762176.0
PSA,35.725735,40534228992.0,40534228992.0
PHM,9.366305,12890541056.0,12890541056.0
PVH,,6836284416.0,6836284416.0
QRVO,42.338223,19934287872.0,19934287872.0
PWR,28.819395,10813106176.0,10813106176.0
QCOM,25.295727,168105279488.0,168105279488.0
DGX,12.036294,16760659968.0,16760659968.0
RL,,8094206464.0,8094206464.0
RJF,18.515574,15716957184.0,15716957184.0
RTX,,110329446400.0,110329446400.0
O,52.00666,23321188352.0,23321188352.0
REG,202.38461,8928561152.0,8928561152.0
REGN,15.911533,52025442304.0,52025442304.0
RF,18.990292,18786285568.0,18786285568.0
RSG,28.599186,29086842880.0,29086842880.0
RMD,41.868477,29181829120.0,29181829120.0
RHI,27.325926,8409444352.0,8409444352.0
ROK,22.288013,28943501312.0,28943501312.0
ROL,70.92453,18480146432.0,18480146432.0
ROP,44.100224,41531408384.0,41531408384.0
ROST,138.47673,42451177472.0,42451177472.0
RCL,,16054346752.0,16054346752.0
SPGI,35.139755,81705615360.0,81705615360.0
CRM,62.304302,220595716096.0,220595716096.0
SBAC,,29308690432.0,29308690432.0
SLB,,37272674304.0,37272674304.0
STX,18.863636,17090806784.0,17090806784.0
SEE,13.688295,6840695296.0,6840695296.0
SRE,9.567356,35914518528.0,35914518528.0
NOW,1002.18646,115951968256.0,115951968256.0
SHW,32.65625,65489002496.0,65489002496.0
SPG,30.434542,35852140544.0,35852140544.0
SWKS,29.955738,31248549888.0,31248549888.0
SLG,13.34771,4452341248.0,4452341248.0
SNA,16.604021,10295878656.0,10295878656.0
SO,20.113789,63480020992.0,63480020992.0
LUV,,30325409792.0,30325409792.0
SWK,22.595882,28130355200.0,28130355200.0
SBUX,185.38733,123969691648.0,123969691648.0
STT,11.629746,25956966400.0,25956966400.0
STE,36.388947,15619545088.0,15619545088.0
SYK,59.083336,93354270720.0,93354270720.0
SIVB,22.146917,26281525248.0,26281525248.0
SYF,16.365639,21691215872.0,21691215872.0
SNPS,68.40515,44699115520.0,44699115520.0
SYY,,38913810432.0,38913810432.0
TMUS,46.724594,153587073024.0,153587073024.0
TROW,16.351704,37198508032.0,37198508032.0
TTWO,46.816586,23019474944.0,23019474944.0
TPR,,10643975168.0,10643975168.0
TGT,25.39196,95862972416.0,95862972416.0
TEL,377.23837,42939465728.0,42939465728.0
FTI,,4762962432.0,4762962432.0
TDY,36.58148,14334631936.0,14334631936.0
TFX,52.276707,18914928640.0,18914928640.0
TER,33.273365,23648034816.0,23648034816.0
TSLA,1275.1875,783356067840.0,783356067840.0
TXN,30.100536,165311725568.0,165311725568.0
TXT,37.72424,11647449088.0,11647449088.0
TMO,31.818922,201270804480.0,201270804480.0
TJX,109.32476,81642840064.0,81642840064.0
TSCO,25.067396,18631364608.0,18631364608.0
TT,,35986087936.0,35986087936.0
TDG,87.74581,31527604224.0,31527604224.0
TRV,13.874525,36813156352.0,36813156352.0
TRMB,47.722584,18505519104.0,18505519104.0
TFC,,72857329664.0,72857329664.0
TWTR,,57185669120.0,57185669120.0
TYL,101.23454,19146809344.0,19146809344.0
TSN,11.833935,23911895040.0,23911895040.0
UDR,213.54999,12668298240.0,12668298240.0
ULTA,79.71094,18021591040.0,18021591040.0
USB,15.568627,71798718464.0,71798718464.0
UAA,,9353076736.0,9353076736.0
UA,,9353080832.0,9353080832.0
UNP,27.050762,142780743680.0,142780743680.0
UAL,,13700910080.0,13700910080.0
UNH,20.47916,311440998400.0,311440998400.0
UPS,99.62805,141332348928.0,141332348928.0
URI,23.460657,20664883200.0,20664883200.0
UHS,12.678239,10986408960.0,10986408960.0
UNM,6.359897,5039290368.0,5039290368.0
VLO,,26400258048.0,26400258048.0
VAR,58.087067,16174649344.0,16174649344.0
VTR,55.98234,18998241280.0,18998241280.0
VRSN,28.62659,22965192704.0,22965192704.0
VRSK,47.034004,30810804224.0,30810804224.0
VZ,12.6046505,224279592960.0,224279592960.0
VRTX,20.794947,55626240000.0,55626240000.0
VFC,,31145179136.0,31145179136.0
VIAC,,35988992000.0,35988992000.0
VTRS,,22168166400.0,22168166400.0
V,43.344345,462930313216.0,462930313216.0
VNT,,5747432448.0,5747432448.0
VNO,137.10715,7342509568.0,7342509568.0
VMC,35.893517,21798060032.0,21798060032.0
WRB,24.156584,12070760448.0,12070760448.0
WAB,33.373394,15326952448.0,15326952448.0
WMT,20.847042,408747540480.0,408747540480.0
WBA,,43530436608.0,43530436608.0
DIS,,340669857792.0,340669857792.0
WM,31.982492,47860129792.0,47860129792.0
WAT,33.965313,17618444288.0,17618444288.0
WEC,21.91293,26196879360.0,26196879360.0
WFC,81.78049,138948657152.0,138948657152.0
WELL,28.97425,28177526784.0,28177526784.0
WST,71.188866,21735335936.0,21735335936.0
WDC,118.3574,20070778880.0,20070778880.0
WU,13.402235,9864687616.0,9864687616.0
WRK,,11657992192.0,11657992192.0
WY,32.839737,26154661888.0,26154661888.0
WHR,11.71236,12591491072.0,12591491072.0
WMB,128.3146,27718395904.0,27718395904.0
WLTW,29.728104,29329219584.0,29329219584.0
WYNN,,13510441984.0,13510441984.0
XEL,22.057348,33065625600.0,33065625600.0
XRX,27.828638,4703731712.0,4703731712.0
XLNX,58.323326,35749122048.0,35749122048.0
XYL,70.8,17881247744.0,17881247744.0
YUM,35.87415,31640999936.0,31640999936.0
ZBRA,51.095184,25543516160.0,25543516160.0
ZBH,,33450524672.0,33450524672.0
ZION,16.41722,8135582720.0,8135582720.0
ZTS,48.04323,79231934464.0,79231934464.0
